Username,Gender,Age,Activity,Duration,Calories,Steps,Mood,Date
john9@outlook.com,Male,56,cycling,60,138.06,0,Neutral,3/22/2024
david13@gmail.com,Male,25,cycling,88,242.24,0,Sad,10/20/2024
daniel11@gmail.com,Male,29,cycling,104,698.05,0,Tired,1/6/2024
michael13@hotmail.com,Male,23,swimming,82,232.86,0,Energetic,6/6/2024
ava10@outlook.com,Female,21,running,35,691.27,815,Happy,5/15/2024
emily8@hotmail.com,Female,54,Yoga,88,393.76,0,Energetic,5/4/2024
ava11@icloud.com,Female,62,cycling,26,421.21,0,Neutral,7/19/2024
olivia9@gmail.com,Female,39,running,24,483.91,1868,Sad,9/7/2024
michael14@outlook.com,Male,24,running,47,217.68,9869,Neutral,11/3/2024
ava12@outlook.com,Female,61,gym,97,590.0,0,Tired,11/11/2024
daniel12@yahoo.com,Male,55,walking,60,481.24,5085,Energetic,8/2/2024
emily9@icloud.com,Female,47,gym,85,861.1,0,Happy,8/26/2024
david14@gmail.com,Male,21,Yoga,28,739.32,0,Tired,12/3/2024
emma12@icloud.com,Female,51,gym,93,184.93,0,Tired,7/14/2024
olivia10@yahoo.com,Female,39,walking,86,626.62,4655,Tired,12/28/2024
olivia11@yahoo.com,Female,55,swimming,33,829.23,0,Energetic,3/20/2024
daniel13@outlook.com,Male,31,cycling,113,463.33,0,Neutral,3/3/2024
david15@yahoo.com,Male,60,cycling,113,575.33,0,Energetic,3/6/2024
michael15@icloud.com,Male,20,Yoga,61,624.91,0,Energetic,10/10/2024
sophia11@gmail.com,Female,48,running,62,626.56,9345,Energetic,8/25/2024
michael16@hotmail.com,Male,56,running,47,94.35,7873,Tired,9/4/2024
john10@icloud.com,Male,50,cycling,45,378.24,0,Tired,4/1/2024
olivia12@yahoo.com,Female,54,Yoga,38,614.72,0,Sad,6/3/2024
david16@yahoo.com,Male,42,Yoga,20,590.32,0,Tired,12/1/2024
emily10@outlook.com,Female,26,walking,60,514.11,13328,Neutral,11/15/2024
michael17@outlook.com,Male,63,Yoga,19,299.43,0,Neutral,1/11/2024
david17@outlook.com,Male,34,walking,111,599.87,4687,Tired,1/28/2024
james9@icloud.com,Male,46,Yoga,58,877.67,0,Energetic,6/26/2024
emily11@hotmail.com,Female,56,running,84,299.7,1680,Happy,6/22/2024
michael18@outlook.com,Male,40,Yoga,20,667.79,0,Tired,10/14/2024
emily12@gmail.com,Female,41,gym,117,687.41,0,Happy,3/28/2024
emily14@outlook.com,Female,51,cycling,65,317.23,0,Neutral,2/1/2024
david18@outlook.com,Male,34,cycling,105,429.33,0,Tired,12/16/2024
michael19@hotmail.com,Male,23,swimming,55,617.66,0,Happy,9/18/2024
michael20@hotmail.com,Male,50,running,30,887.36,12977,Neutral,4/26/2024
emma13@icloud.com,Female,57,walking,23,312.9,11746,Energetic,9/14/2024
olivia13@icloud.com,Female,46,Yoga,102,489.76,0,Sad,11/19/2024
john11@gmail.com,Male,51,running,53,189.96,5286,Neutral,6/17/2024
david19@hotmail.com,Male,26,swimming,53,572.26,0,Sad,11/6/2024
ava13@icloud.com,Female,54,walking,120,784.21,1330,Happy,11/25/2024
james10@icloud.com,Male,49,swimming,84,296.22,0,Energetic,4/26/2024
john12@outlook.com,Male,46,Yoga,76,444.78,0,Sad,3/11/2024
olivia14@hotmail.com,Female,26,cycling,80,527.4,0,Neutral,8/4/2024
daniel14@icloud.com,Male,57,Yoga,46,868.28,0,Neutral,6/19/2024
david20@outlook.com,Male,49,cycling,78,69.7,0,Sad,8/8/2024
emma14@gmail.com,Female,36,gym,16,770.1,0,Neutral,5/24/2024
john13@yahoo.com,Male,41,gym,51,112.5,0,Energetic,9/9/2024
michael21@hotmail.com,Male,43,cycling,116,888.77,0,Tired,3/7/2024
john14@gmail.com,Male,63,cycling,117,452.68,0,Neutral,10/17/2024
james11@gmail.com,Male,55,cycling,79,754.05,0,Energetic,12/19/2024
emily15@hotmail.com,Female,55,cycling,116,813.95,0,Happy,10/16/2024
ava14@yahoo.com,Female,64,walking,89,458.38,8589,Sad,7/5/2024
emily16@outlook.com,Female,19,Yoga,55,405.96,0,Neutral,7/17/2024
john15@gmail.com,Male,51,running,86,326.29,10849,Energetic,9/13/2024
olivia15@gmail.com,Female,61,swimming,102,596.81,0,Tired,10/16/2024
sophia12@yahoo.com,Female,36,swimming,41,636.7,0,Tired,8/12/2024
emma15@outlook.com,Female,48,running,40,753.76,4442,Sad,12/9/2024
sophia13@gmail.com,Female,60,gym,43,592.25,0,Happy,7/11/2024
john16@yahoo.com,Male,44,swimming,75,455.83,0,Tired,6/10/2024
ava15@hotmail.com,Female,52,swimming,107,772.78,0,Neutral,7/27/2024
james12@yahoo.com,Male,29,swimming,52,795.23,0,Tired,10/20/2024
david21@yahoo.com,Male,26,gym,74,281.91,0,Happy,6/6/2024
john17@icloud.com,Male,36,gym,101,693.69,0,Sad,11/13/2024
emily17@gmail.com,Female,26,Yoga,56,845.45,0,Tired,7/8/2024
ava16@outlook.com,Female,34,swimming,61,638.85,0,Happy,8/10/2024
daniel15@hotmail.com,Male,58,cycling,62,572.43,0,Neutral,8/5/2024
david22@icloud.com,Male,52,swimming,120,235.65,0,Sad,2/17/2024
ava17@yahoo.com,Female,21,gym,79,221.83,0,Neutral,3/11/2024
ava18@hotmail.com,Female,23,gym,72,737.39,0,Neutral,9/14/2024
daniel16@outlook.com,Male,43,cycling,119,52.56,0,Sad,2/2/2024
john18@hotmail.com,Male,48,walking,51,397.54,12598,Neutral,11/24/2024
james13@hotmail.com,Male,42,Yoga,25,630.32,0,Sad,3/21/2024
james14@gmail.com,Male,64,running,15,692.75,4888,Energetic,11/24/2024
sophia14@outlook.com,Female,40,running,50,210.21,14339,Happy,1/26/2024
john19@yahoo.com,Male,31,walking,27,554.85,7314,Sad,11/23/2024
emma16@gmail.com,Female,52,running,111,784.17,924,Neutral,9/10/2024
ava19@gmail.com,Female,33,cycling,33,887.84,0,Neutral,7/10/2024
michael22@yahoo.com,Male,53,Yoga,21,876.45,0,Energetic,9/11/2024
michael23@icloud.com,Male,33,running,53,778.91,2365,Energetic,1/18/2024
james15@outlook.com,Male,34,running,57,599.7,7369,Tired,2/18/2024
ava20@hotmail.com,Female,22,running,117,697.44,11867,Sad,4/16/2024
john20@icloud.com,Male,30,swimming,30,684.85,0,Energetic,4/23/2024
david23@outlook.com,Male,36,Yoga,74,503.6,0,Tired,5/12/2024
james16@outlook.com,Male,27,running,57,245.52,9335,Neutral,8/18/2024
emma17@hotmail.com,Female,47,running,108,725.73,2773,Neutral,12/18/2024
john21@icloud.com,Male,22,swimming,21,699.69,0,Neutral,11/8/2024
ava21@icloud.com,Female,40,cycling,116,387.36,0,Energetic,8/19/2024
emily18@hotmail.com,Female,23,Yoga,63,370.59,0,Happy,11/1/2024
david24@hotmail.com,Male,29,cycling,17,867.25,0,Neutral,12/27/2024
sophia15@outlook.com,Female,61,gym,57,376.27,0,Neutral,12/24/2024
emily19@icloud.com,Female,32,walking,58,564.39,10057,Sad,7/25/2024
emma18@yahoo.com,Female,32,cycling,85,849.97,0,Neutral,11/19/2024
olivia16@outlook.com,Female,56,gym,115,325.77,0,Happy,5/14/2024
sophia16@yahoo.com,Female,61,Yoga,36,168.01,0,Tired,8/5/2024
james17@outlook.com,Male,57,Yoga,117,782.87,0,Tired,7/27/2024
daniel17@yahoo.com,Male,56,swimming,40,457.16,0,Energetic,6/10/2024
sophia17@hotmail.com,Female,42,cycling,119,717.99,0,Happy,10/7/2024
david25@outlook.com,Male,64,Yoga,105,228.2,0,Tired,12/3/2024
emma19@outlook.com,Female,58,cycling,45,264.78,0,Energetic,7/3/2024
david26@gmail.com,Male,52,walking,116,873.16,11495,Sad,10/21/2024
david27@yahoo.com,Male,46,cycling,65,443.6,0,Sad,12/17/2024
daniel18@outlook.com,Male,23,walking,108,170.42,5110,Tired,8/26/2024
emma20@outlook.com,Female,38,walking,53,87.98,11645,Happy,1/28/2024
sophia18@hotmail.com,Female,53,running,57,525.87,7570,Neutral,7/21/2024
john23@yahoo.com,Male,46,gym,69,380.51,0,Neutral,4/9/2024
emily20@icloud.com,Female,41,cycling,40,438.92,0,Energetic,9/21/2024
emily21@yahoo.com,Female,40,Yoga,94,196.65,0,Tired,10/19/2024
daniel19@icloud.com,Male,29,cycling,103,170.15,0,Energetic,10/5/2024
michael24@outlook.com,Male,42,gym,79,605.11,0,Energetic,7/23/2024
john24@yahoo.com,Male,36,walking,50,241.12,4729,Neutral,8/19/2024
sophia19@yahoo.com,Female,20,Yoga,48,346.29,0,Happy,8/28/2024
ava22@yahoo.com,Female,63,gym,95,413.94,0,Neutral,4/27/2024
daniel20@yahoo.com,Male,38,swimming,52,295.93,0,Sad,11/27/2024
john25@gmail.com,Male,59,running,104,786.17,4090,Neutral,12/11/2024
emma21@gmail.com,Female,54,swimming,49,583.64,0,Energetic,2/21/2024
daniel21@outlook.com,Male,47,Yoga,56,544.66,0,Happy,12/15/2024
david28@icloud.com,Male,31,Yoga,120,230.07,0,Tired,5/11/2024
olivia17@yahoo.com,Female,20,walking,95,716.31,7529,Happy,2/28/2024
james18@hotmail.com,Male,62,running,98,306.59,14326,Tired,2/21/2024
michael25@outlook.com,Male,43,swimming,54,667.09,0,Neutral,7/21/2024
emily23@outlook.com,Female,55,running,81,627.99,152,Happy,12/11/2024
michael26@yahoo.com,Male,22,running,64,125.93,13204,Happy,2/11/2024
michael27@yahoo.com,Male,22,gym,87,57.2,0,Neutral,8/12/2024
james19@icloud.com,Male,31,walking,27,169.01,2017,Sad,12/13/2024
daniel22@gmail.com,Male,51,gym,80,210.35,0,Tired,11/2/2024
james20@outlook.com,Male,33,Yoga,96,554.84,0,Happy,6/11/2024
olivia18@outlook.com,Female,48,walking,17,549.26,225,Tired,4/2/2024
daniel23@yahoo.com,Male,45,swimming,66,120.06,0,Sad,10/5/2024
sophia20@outlook.com,Female,52,cycling,65,548.47,0,Happy,5/23/2024
michael28@hotmail.com,Male,28,Yoga,59,494.55,0,Tired,3/12/2024
emily24@icloud.com,Female,39,Yoga,49,495.28,0,Sad,11/3/2024
john26@yahoo.com,Male,20,Yoga,61,375.53,0,Neutral,1/18/2024
sophia21@icloud.com,Female,33,Yoga,107,321.94,0,Happy,10/12/2024
james21@outlook.com,Male,32,gym,59,590.55,0,Happy,6/1/2024
daniel24@gmail.com,Male,31,gym,45,406.84,0,Neutral,12/9/2024
david29@gmail.com,Male,62,cycling,73,878.37,0,Sad,2/17/2024
ava23@hotmail.com,Female,45,swimming,31,251.26,0,Tired,7/23/2024
sophia22@hotmail.com,Female,30,running,114,704.62,1785,Neutral,2/6/2024
olivia19@yahoo.com,Female,46,cycling,74,275.26,0,Happy,3/26/2024
john27@hotmail.com,Male,38,running,26,654.48,5828,Energetic,9/2/2024
john28@outlook.com,Male,46,gym,110,517.6,0,Energetic,2/26/2024
emily25@yahoo.com,Female,59,Yoga,118,159.47,0,Tired,2/2/2024
james22@gmail.com,Male,49,walking,63,630.73,2831,Tired,4/6/2024
ava24@icloud.com,Female,59,cycling,78,400.19,0,Energetic,1/3/2024
david30@icloud.com,Male,58,gym,116,66.6,0,Tired,8/18/2024
olivia20@outlook.com,Female,35,running,18,321.05,3588,Happy,5/2/2024
ava25@outlook.com,Female,28,walking,46,608.33,4366,Sad,12/2/2024
james23@hotmail.com,Male,29,running,45,553.64,13208,Tired,10/1/2024
olivia21@outlook.com,Female,26,cycling,106,200.84,0,Tired,1/1/2024
emily26@icloud.com,Female,22,cycling,105,850.63,0,Sad,2/11/2024
james24@yahoo.com,Male,59,cycling,37,651.11,0,Sad,6/8/2024
daniel25@icloud.com,Male,29,swimming,15,856.47,0,Energetic,10/2/2024
ava26@hotmail.com,Female,58,gym,28,846.18,0,Tired,12/3/2024
emily27@outlook.com,Female,46,walking,48,228.23,11356,Happy,6/9/2024
emma22@gmail.com,Female,28,Yoga,78,799.51,0,Sad,7/4/2024
sophia23@hotmail.com,Female,46,walking,117,768.9,4831,Happy,6/9/2024
james25@gmail.com,Male,64,walking,85,850.56,1525,Tired,10/20/2024
michael29@yahoo.com,Male,28,walking,27,331.43,3112,Energetic,12/18/2024
daniel26@icloud.com,Male,33,walking,21,383.97,9005,Energetic,3/2/2024
ava27@gmail.com,Female,30,walking,18,225.91,10456,Tired,2/16/2024
emma23@outlook.com,Female,23,swimming,84,379.4,0,Energetic,6/6/2024
sophia24@gmail.com,Female,54,walking,34,689.4,10935,Happy,2/22/2024
ava28@hotmail.com,Female,53,walking,64,745.64,6858,Sad,11/28/2024
daniel27@icloud.com,Male,43,swimming,19,476.79,0,Sad,10/22/2024
emma24@yahoo.com,Female,28,running,118,213.82,699,Energetic,2/22/2024
ava29@hotmail.com,Female,38,swimming,118,106.96,0,Sad,7/18/2024
john29@outlook.com,Male,25,Yoga,34,175.97,0,Sad,2/4/2024
david31@gmail.com,Male,44,cycling,64,606.57,0,Sad,8/2/2024
daniel28@outlook.com,Male,62,swimming,27,876.62,0,Neutral,5/24/2024
james26@gmail.com,Male,30,Yoga,42,826.42,0,Energetic,9/28/2024
emily28@icloud.com,Female,63,gym,66,165.3,0,Sad,10/1/2024
john30@yahoo.com,Male,20,Yoga,21,830.33,0,Neutral,5/12/2024
emily29@icloud.com,Female,33,cycling,77,554.94,0,Energetic,10/18/2024
emily30@icloud.com,Female,19,Yoga,21,188.47,0,Neutral,4/21/2024
daniel29@yahoo.com,Male,45,Yoga,59,440.15,0,Energetic,5/22/2024
john31@outlook.com,Male,53,swimming,91,567.69,0,Happy,8/3/2024
daniel30@yahoo.com,Male,59,swimming,98,303.97,0,Sad,4/2/2024
david32@gmail.com,Male,36,walking,75,158.75,4237,Sad,3/22/2024
sophia25@icloud.com,Female,44,cycling,62,271.48,0,Energetic,2/16/2024
ava31@hotmail.com,Female,48,running,79,151.84,11152,Energetic,9/10/2024
sophia26@gmail.com,Female,44,gym,73,171.74,0,Neutral,2/16/2024
john32@icloud.com,Male,46,cycling,41,697.01,0,Sad,3/16/2024
david33@hotmail.com,Male,19,swimming,15,582.68,0,Neutral,12/12/2024
daniel31@yahoo.com,Male,22,walking,53,856.19,7469,Sad,10/17/2024
olivia22@hotmail.com,Female,40,running,36,855.87,13303,Energetic,1/8/2024
john33@outlook.com,Male,25,cycling,106,602.96,0,Energetic,11/9/2024
john34@icloud.com,Male,59,walking,21,636.29,6828,Energetic,7/4/2024
ava32@icloud.com,Female,36,walking,115,140.32,3254,Sad,4/25/2024
ava33@gmail.com,Female,27,walking,114,484.95,11854,Happy,5/21/2024
emma25@outlook.com,Female,24,running,20,774.41,5901,Tired,7/24/2024
john36@hotmail.com,Male,60,swimming,36,329.36,0,Energetic,10/9/2024
michael30@yahoo.com,Male,43,Yoga,73,281.06,0,Energetic,7/21/2024
ava34@hotmail.com,Female,60,cycling,81,494.64,0,Sad,2/14/2024
james27@outlook.com,Male,53,gym,21,59.9,0,Sad,8/28/2024
olivia23@hotmail.com,Female,39,cycling,21,480.89,0,Energetic,7/27/2024
emily31@outlook.com,Female,50,gym,41,606.41,0,Tired,6/27/2024
daniel32@gmail.com,Male,62,walking,20,812.35,8067,Neutral,12/24/2024
sophia27@outlook.com,Female,43,running,73,750.87,3122,Tired,2/25/2024
ava35@outlook.com,Female,50,running,103,541.77,11968,Neutral,2/13/2024
james28@outlook.com,Male,56,swimming,112,261.0,0,Tired,5/15/2024
david34@outlook.com,Male,62,gym,55,655.09,0,Neutral,4/7/2024
michael31@hotmail.com,Male,50,gym,103,591.35,0,Happy,6/18/2024
james29@icloud.com,Male,45,walking,81,140.5,6240,Neutral,1/22/2024
daniel33@gmail.com,Male,27,walking,103,716.7,3342,Sad,1/12/2024
olivia24@yahoo.com,Female,18,swimming,47,222.62,0,Energetic,4/21/2024
david35@hotmail.com,Male,64,running,52,431.49,11184,Happy,3/6/2024
ava36@hotmail.com,Female,58,gym,99,305.98,0,Sad,9/12/2024
michael32@hotmail.com,Male,50,running,68,511.62,6609,Happy,6/8/2024
daniel34@outlook.com,Male,57,gym,75,897.14,0,Happy,2/22/2024
ava37@yahoo.com,Female,20,swimming,56,374.17,0,Happy,7/9/2024
olivia25@hotmail.com,Female,49,walking,52,813.54,3154,Tired,9/3/2024
david36@hotmail.com,Male,58,walking,41,619.78,12674,Neutral,11/14/2024
james30@yahoo.com,Male,61,running,18,440.34,5434,Happy,2/3/2024
ava38@icloud.com,Female,55,walking,104,771.01,5860,Sad,2/10/2024
emma26@icloud.com,Female,43,swimming,18,452.89,0,Neutral,3/24/2024
david37@gmail.com,Male,37,running,110,680.22,11893,Tired,4/14/2024
michael33@yahoo.com,Male,57,cycling,39,147.43,0,Sad,1/28/2024
david38@yahoo.com,Male,36,swimming,23,263.08,0,Tired,8/11/2024
daniel35@outlook.com,Male,30,cycling,77,433.05,0,Tired,12/19/2024
james31@hotmail.com,Male,18,cycling,46,717.81,0,Energetic,5/27/2024
emma27@icloud.com,Female,46,cycling,114,309.65,0,Happy,3/21/2024
ava39@outlook.com,Female,20,gym,48,511.95,0,Energetic,11/25/2024
ava40@gmail.com,Female,26,Yoga,79,483.85,0,Tired,9/1/2024
ava41@icloud.com,Female,50,running,72,185.34,9279,Sad,11/28/2024
olivia26@hotmail.com,Female,32,Yoga,44,103.43,0,Neutral,1/22/2024
emma28@gmail.com,Female,20,walking,98,325.46,11530,Sad,11/27/2024
ava42@gmail.com,Female,42,swimming,63,360.5,0,Happy,9/9/2024
olivia27@hotmail.com,Female,49,Yoga,92,55.61,0,Neutral,8/6/2024
michael34@outlook.com,Male,28,cycling,92,659.71,0,Neutral,7/26/2024
emma29@hotmail.com,Female,55,running,97,758.36,367,Neutral,1/5/2024
john37@yahoo.com,Male,21,running,48,834.08,8464,Energetic,10/19/2024
daniel36@icloud.com,Male,31,Yoga,92,893.86,0,Energetic,3/8/2024
michael35@hotmail.com,Male,28,swimming,102,341.27,0,Sad,10/3/2024
sophia28@icloud.com,Female,27,gym,27,200.81,0,Sad,10/2/2024
sophia29@yahoo.com,Female,42,cycling,90,733.93,0,Sad,2/14/2024
olivia28@yahoo.com,Female,41,walking,34,412.16,9590,Tired,5/28/2024
james32@yahoo.com,Male,44,gym,115,523.93,0,Tired,9/18/2024
james33@hotmail.com,Male,60,walking,110,245.31,12830,Neutral,2/7/2024
ava43@outlook.com,Female,28,Yoga,96,54.5,0,Neutral,8/20/2024
emily32@icloud.com,Female,64,Yoga,66,571.87,0,Tired,12/20/2024
emma30@hotmail.com,Female,18,running,99,841.14,8489,Tired,4/2/2024
ava44@gmail.com,Female,61,walking,61,253.37,4,Neutral,2/9/2024
ava45@outlook.com,Female,51,walking,109,648.08,1477,Sad,5/24/2024
daniel37@icloud.com,Male,56,running,73,840.26,9419,Happy,5/6/2024
daniel38@outlook.com,Male,25,gym,47,794.7,0,Sad,5/23/2024
sophia30@hotmail.com,Female,47,swimming,73,812.05,0,Happy,8/4/2024
sophia31@icloud.com,Female,38,Yoga,60,489.03,0,Tired,4/10/2024
emily33@hotmail.com,Female,48,cycling,60,235.78,0,Tired,3/24/2024
sophia32@yahoo.com,Female,33,cycling,41,244.83,0,Neutral,10/12/2024
emma31@gmail.com,Female,52,walking,76,365.52,5167,Energetic,10/28/2024
michael36@gmail.com,Male,25,swimming,81,441.06,0,Happy,1/22/2024
ava46@yahoo.com,Female,29,gym,48,251.57,0,Sad,6/12/2024
olivia29@outlook.com,Female,43,cycling,72,202.91,0,Sad,11/8/2024
david39@outlook.com,Male,49,cycling,47,527.82,0,Happy,7/4/2024
ava47@hotmail.com,Female,54,gym,98,601.76,0,Tired,6/11/2024
emily34@gmail.com,Female,57,cycling,74,586.96,0,Neutral,11/26/2024
james34@outlook.com,Male,23,running,58,243.99,5191,Tired,12/9/2024
olivia30@hotmail.com,Female,44,running,38,776.08,2048,Neutral,11/9/2024
michael37@yahoo.com,Male,24,walking,23,846.27,7752,Sad,1/1/2024
emily35@hotmail.com,Female,57,running,25,606.61,14507,Energetic,5/8/2024
michael38@yahoo.com,Male,19,walking,99,353.32,14995,Tired,8/15/2024
emma32@gmail.com,Female,62,gym,37,552.21,0,Sad,7/17/2024
olivia31@gmail.com,Female,48,gym,16,634.6,0,Energetic,5/1/2024
john38@outlook.com,Male,30,Yoga,86,421.54,0,Neutral,12/24/2024
emily36@hotmail.com,Female,58,running,81,699.86,14908,Sad,12/22/2024
daniel39@gmail.com,Male,30,walking,38,166.13,1808,Energetic,10/15/2024
